question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel,predicted_entity_label,cosine_scores,correct_predictions
HQ0004,Who is responsible for acquisition in the RASH system?,"SELECT ?acq
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 orkgr:R8350.
  orkgr:R8350 orkgp:P7049 ?acq.
}",R8364,Semantic representations of scholarly communication,"['RASH', 'purpuric skin rash', 'Immune System']",[0.5621729  0.4436192  0.43384713],0
HQ0015,What is the maximum sample size?,"SELECT ?sample_size
WHERE {
  orkgr:R135371 orkgp:compareContribution ?cont.
  ?cont orkgp:P15687 ?sample_size
}
ORDER BY DESC(?sample_size)
LIMIT 1",R135371,Comparison of Impact of Covid-19 on mobility behaviour,"['Sample Size', 'amount of samples', 'amount of samples']",[0.8216983 0.7259623 0.7259623],0
HQ0030,Which toxins do pseudomonas species produce?,"SELECT DISTINCT ?toxins, ?toxins_labels
WHERE {
  orkgr:R69027 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P34037 ?toxins.
  ?toxins rdfs:label ?toxins_labels.
}",R69027,Toxins produced by phytopathogenic Pseudomonas species and pathovars,"['Toxins produced by phytopathogenic Pseudomonas species and pathovars', 'Pseudomonas', 'Microbial toxins']",[0.81057036 0.7640568  0.7462542 ],1
HQ0035,Which scenario factsheets from the Open Energy Platform are used in studies with public funding?,"SELECT ?paper
WHERE {
  orkgr:R113171 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont.
  ?cont orkgp:P37586 ?hasFacts.
  ?hasFacts orkgp:P37675 ?study.
  ?study orkgp:P37663 ?sourceOfFunding.
  FILTER(REGEX(?sourceOfFunding, ""public""))
}",R113171,Comparison of Scenario Factsheets from the Open Energy Platform,"['Comparison of Scenario Factsheets from the Open Energy Platform', 'Comparison of Scenario Factsheets from the Open Energy Platform', 'Comparison of Scenario Factsheets from the Open Energy Platform']",[0.7908752 0.7908752 0.7908752],1
HQ0054,What is the minimum and maximum installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?installed_cap_value) AS ?min_installed_cap_value) (MAX(?installed_cap_value) AS ?max_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Energy requirement', 'Reported Installed Capacity [GW] of Compared Studies for All Sources', 'Reported Installed Capacity [GW] of Compared Studies for Photovoltaics']",[0.603535   0.59700817 0.5842142 ],0
HQ0056,What is the average installed capacity for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?installed_cap_value AS ?avg_installed_cap_value))
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES(?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value).
}
ORDER BY ASC(?rangeId)",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Reported Installed Capacity [GW] of Compared Studies for All Sources', 'Specific energy consumption', 'Total energy supply']",[0.5882959  0.56512463 0.5514559 ],0
HQ0034,How many studies do use Chloride as major anion?,"SELECT COUNT(?anions_labels) AS ?chloride_count
WHERE {
  orkgr:R110597 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37458 ?anions.
  ?anions rdfs:label ?anions_labels.
  FILTER(REGEX(?anions_labels, ""Chloride""^^xsd:string))
}",R110597,Sources of major ion evolution in groundwater chemistry of developing urban areas,"['chloride', 'Chloride', 'sodium chloride equivalent']",[0.61924785 0.6192478  0.51147354],0
HQ0033,What risk factors for OSA are discovered in the paper with 100% OSA frequency?,"SELECT ?risk_factors, ?risk_factors_labels
WHERE {
  orkgr:R110932 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37530 ?osa_frequency.
  ?osa_frequency rdfs:label ?osa_frequency_values.
  ?contrib orkgp:P37528 ?risk_factors.
  ?risk_factors rdfs:label ?risk_factors_labels.
  FILTER(REGEX(?osa_frequency_values, ""100""^^xsd:string))
}",R110932,Comparison of the frequency of obstructive sleep apnea (OSA) in patients with mucopolysaccharidosis (MPS),"['risk factors', 'Measuring the supply chain risk and vulnerability in frequency space', 'Apple Mobility Trend Report']",[0.48979124 0.38557133 0.38254172],0
HQ0048,What is the maximum female percentage?,"SELECT ?female_percantage
WHERE {
  orkgr:R44978 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23154 ?female_percantage.
}
ORDER BY DESC(?female_percantage)
LIMIT 1",R44978,Brief psychotherapy for depression studies,"['31% women', 'percentage', 'Percentage']",[0.67540276 0.53549397 0.53549397],0
HQ0020,Which ontology has the most classes?,"SELECT ?ont ?ont_label
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7038 ?cls_cnt;
       rdfs:label ?ont_label.
}
ORDER BY DESC(MAX(xsd:int(?cls_cnt)))
LIMIT 1",R8342,Ontologies for describing scholarly articles,"['Performance of ontology classes at each level', 'ontology', 'ontology']",[0.74280065 0.69615006 0.69615006],0
HQ0062,What are the objectives for Sepsis prediction?,"SELECT DISTINCT ?objectives
WHERE {
  orkgr:R70642 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15051 ?objectives.
}",R70642,Survey of most suitable computational intelligence technique for prediction of Sepsis using physiological data as features,"['Performance Sepsis prediction', 'Predictive models for severe sepsis in adult ICU patients', 'From vital signs to clinical outcomes for patients with sepsis: a machine learning basis for a clinical decision support system']",[0.7942403  0.7018404  0.69435906],0
HQ0051,What is the average energy generation for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Reported Energy Generation [TWh] of Compared Studies for All Sources', 'Reported Energy Generation [TWh] of Compared Studies', 'Reported Energy Generation [TWh] of Compared Studies']",[0.7115474  0.63849634 0.63849634],0
HQ0075,What is the average efficency for experiments?,"SELECT AVG(?efficency_values)
WHERE {
  orkgr:R155266 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43156 ?efficency.
  ?efficency rdfs:label ?efficency_labels.
  BIND(xsd:float(?efficency_labels) AS ?efficency_values)
}",R155266,Fullerene-based photocatalysts in organic pollutants degradation,"['Experiments', 'Experiments', 'Experiments']",[0.5705138 0.5705138 0.5705138],0
HQ0028,Which indicators for well-being are used in the studies on the effect of COVID-19?,"SELECT DISTINCT ?indicators, ?indicators_labels
WHERE {
  orkgr:R78492 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P36089 ?indicators.
  ?indicators rdfs:label ?indicators_labels.
}",R78492,The effect of the COVID-19 pandemic on well-being,"['The effect of the COVID-19 pandemic on well-being', 'The effect of the COVID-19 pandemic on well-being', 'The effect of the COVID-19 pandemic on well-being']",[0.81638324 0.81638324 0.81638324],1
HQ0065,What is the maximum egg mass in studies?,"SELECT MAX(?egg_masses_float)
WHERE {
  orkgr:R34845 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15692 ?egg_masses.
  BIND(xsd:float(?egg_masses) AS ?egg_masses_float)
}",R34845,Results of studies on embryonic eggshell thickness erosion in three groups of birds representing different developmental modes,"['Eggs and their products', 'Eggs', 'Mass ratio']",[0.5208477  0.5126683  0.49043065],0
HQ0074,For what product minimum conversion was obtained?,"SELECT ?product, ?product_label
WHERE {
  orkgr:R155272 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43149 ?product;
           orkgp:P43148 ?conversion.
  ?product rdfs:label ?product_label.
  ?conversion rdfs:label ?conversion_label.
}
ORDER BY ASC(xsd:float(?conversion_label))
LIMIT 1",R155272,"Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts","['Conversions', 'Conversion', 'Minimum']",[0.57525456 0.5517833  0.5119497 ],0
HQ0067,In which papers are energy system scenarios used that consider the 2050 time frame?,"SELECT ?paper
WHERE {
  {
    orkgr:R150337 orkgp:compareContribution ?contrib.
  } UNION {
    orkgr:R153801 orkgp:compareContribution ?contrib.
  }
  ?paper orkgp:P31 ?contrib.
  {
     ?contrib orkgp:P37586 ?scenarios.
     ?scenarios orkgp:P37675 ?studies.
     ?studies orkgp:P35205 ?timeframes.
  } UNION {
     ?contrib orkgp:P37581 ?scenario.
     ?scenario orkgp:P43138 ?goal.
     ?goal orkgp:P43139 ?timeframes.
  }
  FILTER(xsd:int(?timeframes) = 2050)
}",R150337; R153801,Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050,"['Energy scenarios for germany', ""Comparison of Studies on Germany's Energy Supply in 2050"", 'Helmholtz Energy System 2050 Initiative']",[0.6065245 0.597365  0.5893792],0
HQ0018,Which methods are used?,"SELECT DISTINCT ?methods, ?methods_labels
WHERE {
  orkgr:R110361 orkgp:compareContribution ?cont.
  ?cont orkgp:HAS_METHOD ?methods.
  ?methods rdfs:label ?methods_labels.
}",R110361,Pilot mini collection of studies on libraries as third places.,"['Methods-Techniques', 'Methods', 'Methods']",[0.8454462  0.82450485 0.82450485],0
HQ0050,What is the average installed capacity of all energy sources considered?,"SELECT (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Reported Installed Capacity [GW] of Compared Studies for All Sources', 'Reported Installed Capacity [GW] of Compared Studies for Photovoltaics', 'Total energy supply']",[0.6622808  0.6033709  0.59927326],0
HQ0066,What is the most common substrate for catalysts?,"SELECT ?substrate
WHERE {
  orkgr:R25900 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15090 ?substrate.
}
ORDER BY DESC(COUNT(?substrate))
LIMIT 1",R25900,Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview,"['Substrate', 'substrate', 'Substrate']",[0.6265935 0.6265935 0.6265934],0
HQ0047,What is the average reproductive number for studies?,"SELECT (AVG(?reproductive_number) AS ?average_reproductive_number)
WHERE {
  orkgr:R44930 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23140 ?basic_reproductive_number.
  ?basic_reproductive_number orkgp:HAS_VALUE ?value
  BIND(xsd:float(?value) AS ?reproductive_number)
}",R44930,COVID-19 Reproductive Number Estimates,"['Reproductive number estimates 2019-nCoV', 'Reproductive number estimates 2019-nCoV', 'Reproductive number estimates 2019-nCoV']",[0.6872029 0.6872029 0.6872029],0
HQ0071,What are areas of study?,"SELECT DISTINCT ?areas, ?areas_labels
WHERE {
  orkgr:R155445 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37041 ?areas.
  ?areas rdfs:label ?areas_labels.
}",R155445,Mineralogical analysis of Mars in Visible-infrared wavelength range of electromagnetic spectrum using MRO's CRISM-3,"['Study Subject', 'Study', 'study']",[0.71077037 0.6571787  0.6571787 ],0
HQ0053,What is the minimum and maximum energy generation for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?elec_gen_value) AS ?min_elec_gen_value) (MAX(?elec_gen_value) AS ?max_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"['Energy requirement', 'Reported Energy Generation [TWh] of Compared Studies for All Sources', 'Specific energy consumption']",[0.6573016  0.63636136 0.5905705 ],0
HQ0076,What preprocessing methods are used?,"SELECT DISTINCT ?prep_methods, ?prep_methods_labels
WHERE {
  orkgr:R155154 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41006 ?prep_methods.
  ?prep_methods rdfs:label ?prep_methods_labels.
}",R155154,A review of Airborne visible/infrared imaging spectrometer- Next Generation (AVIRIS-NG) hyperspectral images for the identification and characterization of minerals,"['preprocessing', 'preprocessing', 'preprocessing']",[0.79653674 0.79653674 0.79653674],0
HQ0045,In what country was conducted research with the largest number of participants?,"SELECT ?country
WHERE {
  orkgr:R44980 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15249 ?country;
           orkgp:P23169 ?number_of_participants.
}
ORDER BY DESC(?number_of_participants)
LIMIT 1",R44980,Trends and methodological implications of psychodrama psychotherapy research,"['research activity', 'Laboratory location of research study', 'Researchers']",[0.588429   0.5690372  0.56739324],0
HQ0023,"what are the evidence and limitations of paper ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries""?","SELECT ?evidence ?evidence_title ?limitation
WHERE {
  orkgr:R6751 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5004 ?evidence;
        orkgp:P5006 ?limitation.
  ?evidence rdfs:label ?evidence_title.
  FILTER(REGEX(STR(?paper_title), ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries"", ""i""))
}",R6751,Graph-based author name disambiguation,"['Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries', 'Graph-based author name disambiguation', 'Network based Framework for Author Name Disambiguation Applications']",[0.8842397  0.66792715 0.6648447 ],1
HQ0021,"What is the base URL of ""The Document Components Ontology""?","SELECT ?iri
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7042 ?iri;
       orkgp:P7035 ?full_name.
  FILTER(REGEX(STR(?full_name), ""Document Components Ontology"", ""i""))
}",R8342,Ontologies for describing scholarly articles,"['Ontology URI', 'The Document Components Ontology (DoCO)', 'The Document Components Ontology (DoCO)']",[0.7117483  0.69325006 0.69325006],0
HQ0009,What is the precision and recall of SemGraphQA?,"SELECT ?precision ?recall
WHERE {
  orkgr:R6898 orkgp:compareContribution ?cont. 
  ?cont orkgp:P34 ?eval.
  ?eval rdfs:label ?eval_labels.
  FILTER(REGEX(?eval_labels, ""SemGraphQA""))
  ?eval orkgp:P3004 ?precision;
        orkgp:P5015 ?recall.
}",R6898,QA evaluations on QALD-6,"['Recall and Precision', 'precision, recall, accuracy', 'Precision and recall']",[0.6710266  0.6501527  0.64618146],0
HQ0064,What is the total number of patients in the studies?,"SELECT SUM(?number_of_patients)
WHERE {
  orkgr:R33008 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15585 ?patients.
  BIND(xsd:integer(?patients) AS ?number_of_patients)
}",R33008,Prevalence of chromosome 1 abnor- malities in hematologic malignancies,"['Number of patients', 'Total patient population', '366 Patients']",[0.7943982  0.71856713 0.65215236],0
HQ0003,What is the most common Knowledge representation method?,"SELECT (COUNT(?repr) AS ?cnt) ?repr
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7056 ?repr.
}
GROUP BY ?repr
ORDER BY DESC(?cnt)
LIMIT 1",R8364,Semantic representations of scholarly communication,"['Knowledge Representation', 'Knowledge Representation', 'Knowledge Representation']",[0.7077956 0.7077956 0.7077956],0
HQ0057,Where can all the data sets used in the compared studies be found?,"SELECT DISTINCT ?URL
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:HAS_DATASET ?URL.
  FILTER(!REGEX(?URL, ""Not""))
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request,"['research data', 'research data', 'research data']",[0.592865 0.592865 0.592865],0
HQ0097,What types of nanocarriers do have therapeutic effect?,"SELECT ?types_of_nanocarriers, ?types_of_nanocarriers_labels
WHERE {
  orkgr:R144364 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41740 ?types_of_nanocarriers.
  ?contrib orkgp:P41743 ?therapeutic_effect.
  FILTER(?therapeutic_effect = ""T""^^xsd:string)
  ?types_of_nanocarriers rdfs:label ?types_of_nanocarriers_labels.
}",R144364,Different nanocarriers used as drug delivery vehicles for the CNS,"['Different nanocarriers used as drug delivery vehicles for the CNS', 'Different nanocarriers used as drug delivery vehicles for the CNS', 'Nanomedicine']",[0.7180892  0.7180892  0.66042626],1
HQ0043,Which are 3 the most common variables for the atmosphere models?,"SELECT ?variables
WHERE {
  orkgr:R68871 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P7144 ?models.
  ?models rdfs:label ?models_labels.
  FILTER(REGEX(?models_labels, ""tmospher""))
  ?models orkgp:P26032 ?variables.
}
ORDER BY DESC(COUNT(?variables))
LIMIT 3",R68871,Comparison of prognostic atmospheric variables of CMIP5 GCMs,"['Surface atmospheric parameters', 'Surface atmospheric parameters', 'Surface atmospheric parameters']",[0.62860674 0.62860674 0.6286067 ],0
HQ0078,Where did the study with maximal geographic scale take place?,"SELECT ?location, ?location_label
WHERE {
  {
    SELECT (MAX(?geo_scale) AS ?max_geo_scale)
    WHERE {
      orkgr:R149849 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41568 ?geo_scale.
    }
  }
  orkgr:R149849 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41568 ?geo_scale;
           orkgp:P37524 ?location.
  ?location rdfs:label ?location_label.
  FILTER(?geo_scale = ?max_geo_scale)
}",R149849,Genetic variability (COI variation) in studies large sampled (>1000 sequences),"['What type of environment was used to conduct the study?', 'Human Geography', 'Geographic concentration']",[0.55006546 0.5468684  0.5429579 ],0
HQ0022,"Does paper ""Disambiguating authors in citations on the web and authorship correlations"" employe Cosine similarity?","ASK
WHERE {
  orkgr:R6187 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5002 orkgr:R6006.
  FILTER(REGEX(STR(?paper_title), ""Disambiguating authors in citations on the web and authorship correlations"", ""i""))
}",R6187,Semi-supervised author name disambiguation,"['Disambiguating authors in citations on the web and authorship correlations', 'Co-citation analysis', 'co-citation analysis']",[0.8084136  0.62982535 0.62982535],0
HQ0099,For what piezoresistive material the least response time was obtained?,"SELECT ?piezoresistive_materials WHERE {
  orkgr:R138374 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41021 ?piezoresistive_materials.
  ?contrib orkgp:P41022 ?response_time.
}
ORDER BY ASC(?response_time)
LIMIT 1",R138374,Comparison of flexible piezoresistive pressure sensors based on different materials,"['Performance of emerging piezoresistive materials in flexible sensor applications', 'Application in Piezoelectric Devices', 'Piezoelectric Coefficients Values']",[0.50962424 0.50071406 0.4858632 ],0
HQ0032,What is the most common lead compound?,"SELECT ?compound
WHERE {
  orkgr:R75638 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35194 ?compound.
}
ORDER BY DESC(COUNT(?compound))
LIMIT 1",R75638,Anuran antimicrobial peptides activity and mechanism against different biological membranes,"['lead citrate', 'lead citrate', 'lead citrate']",[0.63578093 0.63578093 0.6357808 ],0
HQ0017,What is the most common location in the studies?,"SELECT ?locations
WHERE {
  orkgr:R111045 orkgp:compareContribution ?cont.
  ?cont orkgp:P37537 ?locations.
}
ORDER BY DESC(COUNT(?locations))
LIMIT 1",R111045,Rare-earth complexes and their applications,"['Study location', 'study location', 'What type of environment was used to conduct the study?']",[0.65854335 0.65854335 0.6182029 ],0
HQ0027,For which country of study overall prevalence of epilepsy is the highest?,"SELECT ?country, ?country_label
WHERE {
  orkgr:R75729 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15512 ?country.
  ?contrib orkgp:P16013 ?overall_prevalence.
  ?country rdfs:label ?country_label.
  ?overall_prevalence rdfs:label ?overall_prevalence_value
}
ORDER BY DESC(?overall_prevalence_value)
LIMIT 1",R75729,Prevalence of epilepsy in Europe,"['Prevalence of epilepsy in Europe', 'Prevalence of epilepsy in Europe', 'Prevalence of epilepsy in Europe']",[0.7881073 0.7881073 0.7881073],1
HQ0046,Are children examined in the studies?,"ASK {
  orkgr:R44979 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23161 ?population.
  FILTER(REGEX(?population, ""ildren""))
}",R44979,Comparison of studies related to psychotherapeutic interventions in cancer,"['Pediatric Research', 'nstitute of Pediatric Research- Città Della Speranza, Padova, Italy', 'Educational Research']",[0.7001506  0.5902757  0.56623214],0
HQ0058,"What are the precision, recall, and f1 values of all compared studies that used the algorithm naive bayes in combination with the machine learning feature bag of words to classfy user feedback as feature request? ","SELECT ?precision ?recall ?f1
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15006 ?algorithms.
  ?algorithms rdfs:label ?alg_names.
  FILTER(REGEX(?alg_names, ""Naive bayes""))
  ?algorithms orkgp:P36075 ?features.
  ?features rdfs:label ?fea_names.
  FILTER(REGEX(?fea_names, ""Bag of words""))
  ?features orkgp:P37029 ?categories.
  ?categories rdfs:label ?cat_names.
  FILTER(REGEX(?cat_names, ""Feature request""))
  ?categories orkgp:P3004 ?precision;
              orkgp:P5015 ?recall;
              orkgp:P18037 ?f1.
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request,"['Overview of evaluation metrics of approaches using naive bayes with bag of words', 'Overview of evaluation metrics of approaches using naive bayes with bag of words', 'Evaluation metrics of approaches using naive bayes with bag of words']",[0.6531333  0.6531333  0.64554924],0
