question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel
HQ0004,Who is responsible for acquisition in the RASH system?,"SELECT ?acq
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 orkgr:R8350.
  orkgr:R8350 orkgp:P7049 ?acq.
}",R8364,Semantic representations of scholarly communication
HQ0015,What is the maximum sample size?,"SELECT ?sample_size
WHERE {
  orkgr:R135371 orkgp:compareContribution ?cont.
  ?cont orkgp:P15687 ?sample_size
}
ORDER BY DESC(?sample_size)
LIMIT 1",R135371,Comparison of Impact of Covid-19 on mobility behaviour
HQ0030,Which toxins do pseudomonas species produce?,"SELECT DISTINCT ?toxins, ?toxins_labels
WHERE {
  orkgr:R69027 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P34037 ?toxins.
  ?toxins rdfs:label ?toxins_labels.
}",R69027,Toxins produced by phytopathogenic Pseudomonas species and pathovars
HQ0035,Which scenario factsheets from the Open Energy Platform are used in studies with public funding?,"SELECT ?paper
WHERE {
  orkgr:R113171 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont.
  ?cont orkgp:P37586 ?hasFacts.
  ?hasFacts orkgp:P37675 ?study.
  ?study orkgp:P37663 ?sourceOfFunding.
  FILTER(REGEX(?sourceOfFunding, ""public""))
}",R113171,Comparison of Scenario Factsheets from the Open Energy Platform
HQ0054,What is the minimum and maximum installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?installed_cap_value) AS ?min_installed_cap_value) (MAX(?installed_cap_value) AS ?max_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0056,What is the average installed capacity for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?installed_cap_value AS ?avg_installed_cap_value))
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES(?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value).
}
ORDER BY ASC(?rangeId)",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0034,How many studies do use Chloride as major anion?,"SELECT COUNT(?anions_labels) AS ?chloride_count
WHERE {
  orkgr:R110597 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37458 ?anions.
  ?anions rdfs:label ?anions_labels.
  FILTER(REGEX(?anions_labels, ""Chloride""^^xsd:string))
}",R110597,Sources of major ion evolution in groundwater chemistry of developing urban areas
HQ0033,What risk factors for OSA are discovered in the paper with 100% OSA frequency?,"SELECT ?risk_factors, ?risk_factors_labels
WHERE {
  orkgr:R110932 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37530 ?osa_frequency.
  ?osa_frequency rdfs:label ?osa_frequency_values.
  ?contrib orkgp:P37528 ?risk_factors.
  ?risk_factors rdfs:label ?risk_factors_labels.
  FILTER(REGEX(?osa_frequency_values, ""100""^^xsd:string))
}",R110932,Comparison of the frequency of obstructive sleep apnea (OSA) in patients with mucopolysaccharidosis (MPS)
HQ0048,What is the maximum female percentage?,"SELECT ?female_percantage
WHERE {
  orkgr:R44978 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23154 ?female_percantage.
}
ORDER BY DESC(?female_percantage)
LIMIT 1",R44978,Brief psychotherapy for depression studies
HQ0020,Which ontology has the most classes?,"SELECT ?ont ?ont_label
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7038 ?cls_cnt;
       rdfs:label ?ont_label.
}
ORDER BY DESC(MAX(xsd:int(?cls_cnt)))
LIMIT 1",R8342,Ontologies for describing scholarly articles
HQ0062,What are the objectives for Sepsis prediction?,"SELECT DISTINCT ?objectives
WHERE {
  orkgr:R70642 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15051 ?objectives.
}",R70642,Survey of most suitable computational intelligence technique for prediction of Sepsis using physiological data as features
HQ0051,What is the average energy generation for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0075,What is the average efficency for experiments?,"SELECT AVG(?efficency_values)
WHERE {
  orkgr:R155266 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43156 ?efficency.
  ?efficency rdfs:label ?efficency_labels.
  BIND(xsd:float(?efficency_labels) AS ?efficency_values)
}",R155266,Fullerene-based photocatalysts in organic pollutants degradation
HQ0028,Which indicators for well-being are used in the studies on the effect of COVID-19?,"SELECT DISTINCT ?indicators, ?indicators_labels
WHERE {
  orkgr:R78492 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P36089 ?indicators.
  ?indicators rdfs:label ?indicators_labels.
}",R78492,The effect of the COVID-19 pandemic on well-being
HQ0065,What is the maximum egg mass in studies?,"SELECT MAX(?egg_masses_float)
WHERE {
  orkgr:R34845 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15692 ?egg_masses.
  BIND(xsd:float(?egg_masses) AS ?egg_masses_float)
}",R34845,Results of studies on embryonic eggshell thickness erosion in three groups of birds representing different developmental modes
HQ0074,For what product minimum conversion was obtained?,"SELECT ?product, ?product_label
WHERE {
  orkgr:R155272 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43149 ?product;
           orkgp:P43148 ?conversion.
  ?product rdfs:label ?product_label.
  ?conversion rdfs:label ?conversion_label.
}
ORDER BY ASC(xsd:float(?conversion_label))
LIMIT 1",R155272,"Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts"
HQ0067,In which papers are energy system scenarios used that consider the 2050 time frame?,"SELECT ?paper
WHERE {
  {
    orkgr:R150337 orkgp:compareContribution ?contrib.
  } UNION {
    orkgr:R153801 orkgp:compareContribution ?contrib.
  }
  ?paper orkgp:P31 ?contrib.
  {
     ?contrib orkgp:P37586 ?scenarios.
     ?scenarios orkgp:P37675 ?studies.
     ?studies orkgp:P35205 ?timeframes.
  } UNION {
     ?contrib orkgp:P37581 ?scenario.
     ?scenario orkgp:P43138 ?goal.
     ?goal orkgp:P43139 ?timeframes.
  }
  FILTER(xsd:int(?timeframes) = 2050)
}",R150337; R153801,Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050
HQ0018,Which methods are used?,"SELECT DISTINCT ?methods, ?methods_labels
WHERE {
  orkgr:R110361 orkgp:compareContribution ?cont.
  ?cont orkgp:HAS_METHOD ?methods.
  ?methods rdfs:label ?methods_labels.
}",R110361,Pilot mini collection of studies on libraries as third places.
HQ0050,What is the average installed capacity of all energy sources considered?,"SELECT (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0066,What is the most common substrate for catalysts?,"SELECT ?substrate
WHERE {
  orkgr:R25900 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15090 ?substrate.
}
ORDER BY DESC(COUNT(?substrate))
LIMIT 1",R25900,Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview
HQ0047,What is the average reproductive number for studies?,"SELECT (AVG(?reproductive_number) AS ?average_reproductive_number)
WHERE {
  orkgr:R44930 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23140 ?basic_reproductive_number.
  ?basic_reproductive_number orkgp:HAS_VALUE ?value
  BIND(xsd:float(?value) AS ?reproductive_number)
}",R44930,COVID-19 Reproductive Number Estimates
HQ0071,What are areas of study?,"SELECT DISTINCT ?areas, ?areas_labels
WHERE {
  orkgr:R155445 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37041 ?areas.
  ?areas rdfs:label ?areas_labels.
}",R155445,Mineralogical analysis of Mars in Visible-infrared wavelength range of electromagnetic spectrum using MRO's CRISM-3
HQ0053,What is the minimum and maximum energy generation for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?elec_gen_value) AS ?min_elec_gen_value) (MAX(?elec_gen_value) AS ?max_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0076,What preprocessing methods are used?,"SELECT DISTINCT ?prep_methods, ?prep_methods_labels
WHERE {
  orkgr:R155154 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41006 ?prep_methods.
  ?prep_methods rdfs:label ?prep_methods_labels.
}",R155154,A review of Airborne visible/infrared imaging spectrometer- Next Generation (AVIRIS-NG) hyperspectral images for the identification and characterization of minerals
HQ0045,In what country was conducted research with the largest number of participants?,"SELECT ?country
WHERE {
  orkgr:R44980 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15249 ?country;
           orkgp:P23169 ?number_of_participants.
}
ORDER BY DESC(?number_of_participants)
LIMIT 1",R44980,Trends and methodological implications of psychodrama psychotherapy research
HQ0023,"what are the evidence and limitations of paper ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries""?","SELECT ?evidence ?evidence_title ?limitation
WHERE {
  orkgr:R6751 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5004 ?evidence;
        orkgp:P5006 ?limitation.
  ?evidence rdfs:label ?evidence_title.
  FILTER(REGEX(STR(?paper_title), ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries"", ""i""))
}",R6751,Graph-based author name disambiguation
HQ0021,"What is the base URL of ""The Document Components Ontology""?","SELECT ?iri
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7042 ?iri;
       orkgp:P7035 ?full_name.
  FILTER(REGEX(STR(?full_name), ""Document Components Ontology"", ""i""))
}",R8342,Ontologies for describing scholarly articles
HQ0009,What is the precision and recall of SemGraphQA?,"SELECT ?precision ?recall
WHERE {
  orkgr:R6898 orkgp:compareContribution ?cont. 
  ?cont orkgp:P34 ?eval.
  ?eval rdfs:label ?eval_labels.
  FILTER(REGEX(?eval_labels, ""SemGraphQA""))
  ?eval orkgp:P3004 ?precision;
        orkgp:P5015 ?recall.
}",R6898,QA evaluations on QALD-6
HQ0064,What is the total number of patients in the studies?,"SELECT SUM(?number_of_patients)
WHERE {
  orkgr:R33008 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15585 ?patients.
  BIND(xsd:integer(?patients) AS ?number_of_patients)
}",R33008,Prevalence of chromosome 1 abnor- malities in hematologic malignancies
HQ0003,What is the most common Knowledge representation method?,"SELECT (COUNT(?repr) AS ?cnt) ?repr
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7056 ?repr.
}
GROUP BY ?repr
ORDER BY DESC(?cnt)
LIMIT 1",R8364,Semantic representations of scholarly communication
HQ0057,Where can all the data sets used in the compared studies be found?,"SELECT DISTINCT ?URL
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:HAS_DATASET ?URL.
  FILTER(!REGEX(?URL, ""Not""))
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request
HQ0097,What types of nanocarriers do have therapeutic effect?,"SELECT ?types_of_nanocarriers, ?types_of_nanocarriers_labels
WHERE {
  orkgr:R144364 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41740 ?types_of_nanocarriers.
  ?contrib orkgp:P41743 ?therapeutic_effect.
  FILTER(?therapeutic_effect = ""T""^^xsd:string)
  ?types_of_nanocarriers rdfs:label ?types_of_nanocarriers_labels.
}",R144364,Different nanocarriers used as drug delivery vehicles for the CNS
HQ0043,Which are 3 the most common variables for the atmosphere models?,"SELECT ?variables
WHERE {
  orkgr:R68871 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P7144 ?models.
  ?models rdfs:label ?models_labels.
  FILTER(REGEX(?models_labels, ""tmospher""))
  ?models orkgp:P26032 ?variables.
}
ORDER BY DESC(COUNT(?variables))
LIMIT 3",R68871,Comparison of prognostic atmospheric variables of CMIP5 GCMs
HQ0078,Where did the study with maximal geographic scale take place?,"SELECT ?location, ?location_label
WHERE {
  {
    SELECT (MAX(?geo_scale) AS ?max_geo_scale)
    WHERE {
      orkgr:R149849 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41568 ?geo_scale.
    }
  }
  orkgr:R149849 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41568 ?geo_scale;
           orkgp:P37524 ?location.
  ?location rdfs:label ?location_label.
  FILTER(?geo_scale = ?max_geo_scale)
}",R149849,Genetic variability (COI variation) in studies large sampled (>1000 sequences)
HQ0022,"Does paper ""Disambiguating authors in citations on the web and authorship correlations"" employe Cosine similarity?","ASK
WHERE {
  orkgr:R6187 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5002 orkgr:R6006.
  FILTER(REGEX(STR(?paper_title), ""Disambiguating authors in citations on the web and authorship correlations"", ""i""))
}",R6187,Semi-supervised author name disambiguation
HQ0099,For what piezoresistive material the least response time was obtained?,"SELECT ?piezoresistive_materials WHERE {
  orkgr:R138374 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41021 ?piezoresistive_materials.
  ?contrib orkgp:P41022 ?response_time.
}
ORDER BY ASC(?response_time)
LIMIT 1",R138374,Comparison of flexible piezoresistive pressure sensors based on different materials
HQ0032,What is the most common lead compound?,"SELECT ?compound
WHERE {
  orkgr:R75638 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35194 ?compound.
}
ORDER BY DESC(COUNT(?compound))
LIMIT 1",R75638,Anuran antimicrobial peptides activity and mechanism against different biological membranes
HQ0017,What is the most common location in the studies?,"SELECT ?locations
WHERE {
  orkgr:R111045 orkgp:compareContribution ?cont.
  ?cont orkgp:P37537 ?locations.
}
ORDER BY DESC(COUNT(?locations))
LIMIT 1",R111045,Rare-earth complexes and their applications
HQ0027,For which country of study overall prevalence of epilepsy is the highest?,"SELECT ?country, ?country_label
WHERE {
  orkgr:R75729 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15512 ?country.
  ?contrib orkgp:P16013 ?overall_prevalence.
  ?country rdfs:label ?country_label.
  ?overall_prevalence rdfs:label ?overall_prevalence_value
}
ORDER BY DESC(?overall_prevalence_value)
LIMIT 1",R75729,Prevalence of epilepsy in Europe
HQ0046,Are children examined in the studies?,"ASK {
  orkgr:R44979 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23161 ?population.
  FILTER(REGEX(?population, ""ildren""))
}",R44979,Comparison of studies related to psychotherapeutic interventions in cancer
HQ0058,"What are the precision, recall, and f1 values of all compared studies that used the algorithm naive bayes in combination with the machine learning feature bag of words to classfy user feedback as feature request? ","SELECT ?precision ?recall ?f1
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15006 ?algorithms.
  ?algorithms rdfs:label ?alg_names.
  FILTER(REGEX(?alg_names, ""Naive bayes""))
  ?algorithms orkgp:P36075 ?features.
  ?features rdfs:label ?fea_names.
  FILTER(REGEX(?fea_names, ""Bag of words""))
  ?features orkgp:P37029 ?categories.
  ?categories rdfs:label ?cat_names.
  FILTER(REGEX(?cat_names, ""Feature request""))
  ?categories orkgp:P3004 ?precision;
              orkgp:P5015 ?recall;
              orkgp:P18037 ?f1.
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request
HQ0055,What is the average energy generation for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?eng_gen_value) AS ?avg_eng_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES (?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?energy_generation.
  ?energy_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?eng_gen_value).
}
ORDER BY ASC(?rangeId)",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0077,What is the most common type of biosensor?,"SELECT ?biosensor
WHERE {
  orkgr:R151435 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43095 ?biosensor.
}
ORDER BY DESC(COUNT(?biosensor))
LIMIT 1",R151435,Characteristics of Biosensors Based on ZnO One-Dimensional Nanostructures
HQ0052,What is the average installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050
HQ0011,Which system has the worst recall?,"SELECT ?evaluation ?system_name
WHERE {
  orkgr:R6946 orkgp:compareContribution ?cont.
  ?cont orkgp:P34 ?evaluation.
  ?evaluation orkgp:P5015 ?recall;
              rdfs:label ?system_name.
  BIND(xsd:float(?recall) AS ?r)
}
ORDER BY ?r
LIMIT 1",R6946,QA evaluations on QALD-5
HQ0100,What is the maximum reaction yield for the studies?,"SELECT ?reactions_yield WHERE {
  orkgr:R137086 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37560 ?reactions_yield.
}
ORDER BY DESC(?reactions_yield)
LIMIT 1",R137086,Catalytic activation of C-O bond
HQ0070,For which region of data collection the number of sampling stations is the largest?,"SELECT ?region
WHERE {
  orkgr:R155584 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41068 ?number_of_stations;
           orkgp:P27029 ?region.
}
ORDER BY DESC(?number_of_stations)
LIMIT 1",R155584,Assessment of picophytoplankton abundance in the Indian Ocean
HQ0069,Which sector is the most commonly modeled energy sector?,"SELECT ?label (COUNT(?label) AS ?number)
WHERE {
  ?sector rdfs:label ?label;
          a ?class.
  ?class owl:equivalentClass <http://openenergy-platform.org/ontology/oeo/OEO_00000367>.
  orkgr:R150337 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37586 ?scenario.
  ?scenario orkgp:P37675 ?study.
  ?study orkgp:P37668 ?sector.
  
}
ORDER BY DESC(?number)
LIMIT 1",R150337,Comparison of Scenario Factsheets from the Open Energy Platform
HQ0063,Is Cobb-Douglas functional applied in the studies?,"ASK {
  orkgr:R34493 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15661 ?funcionals.
  ?funcionals rdfs:label ?funtionals_labels.
  FILTER(REGEX(?funtionals_labels, ""Cobb-Douglas""))
}",R34493,Cost functions estimation for port sector
HQ0001,"What type of data does the system proposed in paper titled ""Open Research Knowledge Graph"" support?","SELECT ?datatype 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont  orkgp:P7046 ?sys.
  ?sys orkgp:P7055 ?datatype.
  FILTER(REGEX(STR(?title), ""Open Research Knowledge Graph""))
}",R8364,Semantic representations of scholarly communication
