question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel,predicted_comparison_label,predicted_comparison_IRI,cosine_scores,correct_predictions
HQ0020,Which ontology has the most classes?,"SELECT ?ont ?ont_label
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7038 ?cls_cnt;
       rdfs:label ?ont_label.
}
ORDER BY DESC(MAX(xsd:int(?cls_cnt)))
LIMIT 1",R8342,Ontologies for describing scholarly articles,"['Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles']","['R8342', 'R8342', 'R8342']",[0.49717176 0.49717176 0.49717176],1
HQ0062,What are the objectives for Sepsis prediction?,"SELECT DISTINCT ?objectives
WHERE {
  orkgr:R70642 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15051 ?objectives.
}",R70642,Survey of most suitable computational intelligence technique for prediction of Sepsis using physiological data as features,"['Survey of most suitable computational intelligence technique for prediction of Sepsis using physiological data as features', 'The effect of the COVID-19 pandemic on well-being', 'Comparison of studies related to psychotherapeutic interventions in cancer']","['R70642', 'R78492', 'R44979']",[0.62854093 0.24240178 0.189701  ],1
HQ0051,What is the average energy generation for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?elec_gen_value) AS ?average_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.48562497 0.48562497 0.48562497],1
HQ0075,What is the average efficency for experiments?,"SELECT AVG(?efficency_values)
WHERE {
  orkgr:R155266 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43156 ?efficency.
  ?efficency rdfs:label ?efficency_labels.
  BIND(xsd:float(?efficency_labels) AS ?efficency_values)
}",R155266,Fullerene-based photocatalysts in organic pollutants degradation,"['Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Pilot mini collection of studies on libraries as third places.', 'Cost functions estimation for port sector']","['R149849', 'R110361', 'R34493']",[0.2940301  0.21983601 0.21135262],0
HQ0028,Which indicators for well-being are used in the studies on the effect of COVID-19?,"SELECT DISTINCT ?indicators, ?indicators_labels
WHERE {
  orkgr:R78492 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P36089 ?indicators.
  ?indicators rdfs:label ?indicators_labels.
}",R78492,The effect of the COVID-19 pandemic on well-being,"['The effect of the COVID-19 pandemic on well-being', 'Comparison of Impact of Covid-19 on mobility behaviour', 'COVID-19 Reproductive Number Estimates']","['R78492', 'R135371', 'R44930']",[0.81638324 0.5061816  0.430767  ],1
HQ0065,What is the maximum egg mass in studies?,"SELECT MAX(?egg_masses_float)
WHERE {
  orkgr:R34845 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15692 ?egg_masses.
  BIND(xsd:float(?egg_masses) AS ?egg_masses_float)
}",R34845,Results of studies on embryonic eggshell thickness erosion in three groups of birds representing different developmental modes,"['COVID-19 Reproductive Number Estimates', 'Results of studies on embryonic eggshell thickness erosion in three groups of birds representing different developmental modes', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)']","['R44930', 'R34845', 'R149849']",[0.32938218 0.28241295 0.24178657],1
HQ0074,For what product minimum conversion was obtained?,"SELECT ?product, ?product_label
WHERE {
  orkgr:R155272 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43149 ?product;
           orkgp:P43148 ?conversion.
  ?product rdfs:label ?product_label.
  ?conversion rdfs:label ?conversion_label.
}
ORDER BY ASC(xsd:float(?conversion_label))
LIMIT 1",R155272,"Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts","['Cost functions estimation for port sector', 'Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview', 'The Use of Silicon Carbide Thin Films in Different Device Types']","['R34493', 'R25900', 'R110393']",[0.19895628 0.18197906 0.15541115],0
HQ0067,In which papers are energy system scenarios used that consider the 2050 time frame?,"SELECT ?paper
WHERE {
  {
    orkgr:R150337 orkgp:compareContribution ?contrib.
  } UNION {
    orkgr:R153801 orkgp:compareContribution ?contrib.
  }
  ?paper orkgp:P31 ?contrib.
  {
     ?contrib orkgp:P37586 ?scenarios.
     ?scenarios orkgp:P37675 ?studies.
     ?studies orkgp:P35205 ?timeframes.
  } UNION {
     ?contrib orkgp:P37581 ?scenario.
     ?scenario orkgp:P43138 ?goal.
     ?goal orkgp:P43139 ?timeframes.
  }
  FILTER(xsd:int(?timeframes) = 2050)
}",R150337; R153801,Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R150337; R153801', 'R153801', 'R153801']",[0.65266126 0.597365   0.597365  ],1
HQ0018,Which methods are used?,"SELECT DISTINCT ?methods, ?methods_labels
WHERE {
  orkgr:R110361 orkgp:compareContribution ?cont.
  ?cont orkgp:HAS_METHOD ?methods.
  ?methods rdfs:label ?methods_labels.
}",R110361,Pilot mini collection of studies on libraries as third places.,"['Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes', 'QA evaluations on QALD-5', 'Trends and methodological implications of psychodrama psychotherapy research']","['R155621', 'R6946', 'R44980']",[0.23576657 0.21381585 0.21372703],0
HQ0050,What is the average installed capacity of all energy sources considered?,"SELECT (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  FILTER(REGEX(?energy_sources_labels, ""all sources""))
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.4236588 0.4236588 0.4236588],1
HQ0066,What is the most common substrate for catalysts?,"SELECT ?substrate
WHERE {
  orkgr:R25900 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15090 ?substrate.
}
ORDER BY DESC(COUNT(?substrate))
LIMIT 1",R25900,Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview,"['Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts', 'Catalytic activation of C-O bond', 'Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview']","['R155272', 'R137086', 'R25900']",[0.38634825 0.36044458 0.3070799 ],1
HQ0047,What is the average reproductive number for studies?,"SELECT (AVG(?reproductive_number) AS ?average_reproductive_number)
WHERE {
  orkgr:R44930 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23140 ?basic_reproductive_number.
  ?basic_reproductive_number orkgp:HAS_VALUE ?value
  BIND(xsd:float(?value) AS ?reproductive_number)
}",R44930,COVID-19 Reproductive Number Estimates,"['COVID-19 Reproductive Number Estimates', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Prevalence of epilepsy in Europe']","['R44930', 'R149849', 'R75729']",[0.5935751  0.36789867 0.2396103 ],1
HQ0071,What are areas of study?,"SELECT DISTINCT ?areas, ?areas_labels
WHERE {
  orkgr:R155445 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37041 ?areas.
  ?areas rdfs:label ?areas_labels.
}",R155445,Mineralogical analysis of Mars in Visible-infrared wavelength range of electromagnetic spectrum using MRO's CRISM-3,"['Pilot mini collection of studies on libraries as third places.', 'Semantic representations of scholarly communication', 'Semantic representations of scholarly communication']","['R110361', 'R8364', 'R8364']",[0.40645725 0.24568596 0.24568596],0
HQ0053,What is the minimum and maximum energy generation for each energy source considered?,"SELECT ?energy_sources_labels (MIN(?elec_gen_value) AS ?min_elec_gen_value) (MAX(?elec_gen_value) AS ?max_elec_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?elec_gen.
  ?elec_gen orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?elec_gen_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.42597067 0.42597067 0.42597067],1
HQ0076,What preprocessing methods are used?,"SELECT DISTINCT ?prep_methods, ?prep_methods_labels
WHERE {
  orkgr:R155154 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41006 ?prep_methods.
  ?prep_methods rdfs:label ?prep_methods_labels.
}",R155154,A review of Airborne visible/infrared imaging spectrometer- Next Generation (AVIRIS-NG) hyperspectral images for the identification and characterization of minerals,"['QA evaluations on QALD-6', 'QA evaluations on QALD-5', 'Summarization before 2002']","['R6898', 'R6946', 'R6948']",[0.2175293  0.20858216 0.17215565],0
HQ0045,In what country was conducted research with the largest number of participants?,"SELECT ?country
WHERE {
  orkgr:R44980 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15249 ?country;
           orkgp:P23169 ?number_of_participants.
}
ORDER BY DESC(?number_of_participants)
LIMIT 1",R44980,Trends and methodological implications of psychodrama psychotherapy research,"['Pilot mini collection of studies on libraries as third places.', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Trends and methodological implications of psychodrama psychotherapy research']","['R110361', 'R149849', 'R44980']",[0.3679995  0.25227413 0.24451496],1
HQ0023,"what are the evidence and limitations of paper ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries""?","SELECT ?evidence ?evidence_title ?limitation
WHERE {
  orkgr:R6751 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5004 ?evidence;
        orkgp:P5006 ?limitation.
  ?evidence rdfs:label ?evidence_title.
  FILTER(REGEX(STR(?paper_title), ""Evaluating the Use of Social Networks in Author Name Disambiguation in Digital Libraries"", ""i""))
}",R6751,Graph-based author name disambiguation,"['Graph-based author name disambiguation', 'Semi-supervised author name disambiguation', 'Semantic representations of scholarly communication']","['R6751', 'R6187', 'R8364']",[0.66792715 0.60104734 0.42821693],1
HQ0021,"What is the base URL of ""The Document Components Ontology""?","SELECT ?iri
WHERE {
  orkgr:R8342 orkgp:compareContribution ?cont.
  ?cont orkgp:P7034 ?ont.
  ?ont orkgp:P7042 ?iri;
       orkgp:P7035 ?full_name.
  FILTER(REGEX(STR(?full_name), ""Document Components Ontology"", ""i""))
}",R8342,Ontologies for describing scholarly articles,"['Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles', 'Ontologies for describing scholarly articles']","['R8342', 'R8342', 'R8342']",[0.4551878 0.4551878 0.4551878],1
HQ0009,What is the precision and recall of SemGraphQA?,"SELECT ?precision ?recall
WHERE {
  orkgr:R6898 orkgp:compareContribution ?cont. 
  ?cont orkgp:P34 ?eval.
  ?eval rdfs:label ?eval_labels.
  FILTER(REGEX(?eval_labels, ""SemGraphQA""))
  ?eval orkgp:P3004 ?precision;
        orkgp:P5015 ?recall.
}",R6898,QA evaluations on QALD-6,"['QA evaluations on QALD-6', 'QA evaluations on QALD-5', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)']","['R6898', 'R6946', 'R149849']",[0.28674778 0.2693611  0.26690602],1
HQ0064,What is the total number of patients in the studies?,"SELECT SUM(?number_of_patients)
WHERE {
  orkgr:R33008 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15585 ?patients.
  BIND(xsd:integer(?patients) AS ?number_of_patients)
}",R33008,Prevalence of chromosome 1 abnor- malities in hematologic malignancies,"['COVID-19 Reproductive Number Estimates', 'Comparison of studies related to psychotherapeutic interventions in cancer', 'Trends and methodological implications of psychodrama psychotherapy research']","['R44930', 'R44979', 'R44980']",[0.31598386 0.290166   0.2806455 ],0
HQ0003,What is the most common Knowledge representation method?,"SELECT (COUNT(?repr) AS ?cnt) ?repr
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7056 ?repr.
}
GROUP BY ?repr
ORDER BY DESC(?cnt)
LIMIT 1",R8364,Semantic representations of scholarly communication,"['Comparison of scholarly knowledge graphs', 'Semantic representations of scholarly communication', 'Semantic representations of scholarly communication']","['R78023', 'R8364', 'R8364']",[0.34597668 0.34073412 0.34073412],1
HQ0057,Where can all the data sets used in the compared studies be found?,"SELECT DISTINCT ?URL
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:HAS_DATASET ?URL.
  FILTER(!REGEX(?URL, ""Not""))
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request,"['Pilot mini collection of studies on libraries as third places.', 'Comparison of scholarly knowledge graphs', 'Comparison of Scenario Factsheets from the Open Energy Platform']","['R110361', 'R78023', 'R113171']",[0.40761542 0.3839431  0.2913717 ],0
HQ0097,What types of nanocarriers do have therapeutic effect?,"SELECT ?types_of_nanocarriers, ?types_of_nanocarriers_labels
WHERE {
  orkgr:R144364 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41740 ?types_of_nanocarriers.
  ?contrib orkgp:P41743 ?therapeutic_effect.
  FILTER(?therapeutic_effect = ""T""^^xsd:string)
  ?types_of_nanocarriers rdfs:label ?types_of_nanocarriers_labels.
}",R144364,Different nanocarriers used as drug delivery vehicles for the CNS,"['Different nanocarriers used as drug delivery vehicles for the CNS', 'Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes', 'Characteristics of Biosensors Based on ZnO One-Dimensional Nanostructures']","['R144364', 'R155621', 'R151435']",[0.7180892  0.37423953 0.27710524],1
HQ0043,Which are 3 the most common variables for the atmosphere models?,"SELECT ?variables
WHERE {
  orkgr:R68871 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P7144 ?models.
  ?models rdfs:label ?models_labels.
  FILTER(REGEX(?models_labels, ""tmospher""))
  ?models orkgp:P26032 ?variables.
}
ORDER BY DESC(COUNT(?variables))
LIMIT 3",R68871,Comparison of prognostic atmospheric variables of CMIP5 GCMs,"['Comparison of prognostic atmospheric variables of CMIP5 GCMs', 'Comparison of Scenario Factsheets from the Open Energy Platform', 'Comparison of Scenario Factsheets from the Open Energy Platform']","['R68871', 'R150337', 'R113171']",[0.34692737 0.26779452 0.26779452],1
